n_hidden1,lr,epochs,report_every,avg_loss,avg_f1,model
16,0.005,500,500,0.3904251337051391,0.2200533509254455,full_model
16,0.005,1000,500,0.3899884104728698,0.2204351067543029,full_model
16,0.01,500,500,0.390082585811615,0.2202499270439148,full_model
16,0.01,1000,500,0.3898319780826568,0.2200489640235901,full_model
16,0.05,500,500,0.3903905987739563,0.2204666376113891,full_model
16,0.05,1000,500,0.3903988718986511,0.2215661644935607,full_model
24,0.005,500,500,0.3901669681072235,0.220002269744873,full_model
24,0.005,1000,500,0.3901959717273712,0.2213618159294128,full_model
24,0.01,500,500,0.3902216970920563,0.2197906494140625,full_model
24,0.01,1000,500,0.3904641091823578,0.2204805731773376,full_model
24,0.05,500,500,0.3904730975627899,0.2192772626876831,full_model
24,0.05,1000,500,0.3908491611480713,0.2205617666244506,full_model
32,0.005,500,500,0.3897998988628387,0.2201093196868896,full_model
32,0.005,1000,500,0.3899628460407257,0.2206323266029358,full_model
32,0.01,500,500,0.3899557173252105,0.2214146137237548,full_model
32,0.01,1000,500,0.3907514631748199,0.2228857636451721,full_model
32,0.05,500,500,0.3906841695308685,0.2197268962860107,full_model
32,0.05,1000,500,0.3915221095085144,0.22285912036895753,full_model
