n_hidden1,lr,epochs,report_every,avg_loss,avg_f1,model
16,0.005,1000,500,0.194898384809494,0.978872001171112,full_model
16,0.005,1500,500,0.1945935487747192,0.9801452159881592,full_model
16,0.01,1000,500,0.1947943329811096,0.9842011094093324,full_model
16,0.01,1500,500,0.1947547852993011,0.9846717715263368,full_model
16,0.05,1000,500,0.1947328746318817,0.9877509117126464,full_model
16,0.05,1500,500,0.1947571575641632,0.9892008066177368,full_model
24,0.005,1000,500,0.1943117886781692,0.9666821718215942,full_model
24,0.005,1500,500,0.1943379580974578,0.9583263754844664,full_model
24,0.01,1000,500,0.1945803940296173,0.9709073901176452,full_model
24,0.01,1500,500,0.1946741551160812,0.9598044872283936,full_model
24,0.05,1000,500,0.1954552412033081,0.9628068447113036,full_model
24,0.05,1500,500,0.1962852627038955,0.9717365622520446,full_model
32,0.005,1000,500,0.1944553703069687,0.9654852628707886,full_model
32,0.005,1500,500,0.1945423871278762,0.9485849738121032,full_model
32,0.01,1000,500,0.1945119231939315,0.9602228879928588,full_model
32,0.01,1500,500,0.1946628451347351,0.9536709070205688,full_model
32,0.05,1000,500,0.1949761062860489,0.9853576064109802,full_model
32,0.05,1500,500,0.19540360569953918,0.9711020946502685,full_model
