n_hidden1,lr,epochs,report_every,avg_loss,avg_f1,model
16,0.005,1000,500,0.3959366918,0.2143862367,full_model
16,0.005,1500,500,0.3956800163,0.2145949006,full_model
16,0.01,1000,500,0.3957160294,0.2143476248,full_model
16,0.01,1500,500,0.3953655362,0.2146214962,full_model
16,0.05,1000,500,0.3953840733,0.2148317575,full_model
16,0.05,1500,500,0.3954474926,0.2151729465,full_model
24,0.005,1000,500,0.3954750001,0.2146232724,full_model
24,0.005,1500,500,0.3951062977,0.2141005754,full_model
24,0.01,1000,500,0.3950249374,0.2141459584,full_model
24,0.01,1500,500,0.3947987974,0.2145355463,full_model
24,0.05,1000,500,0.3949623644,0.2142251968,full_model
24,0.05,1500,500,0.3950036645,0.2150972247,full_model
32,0.005,1000,500,0.3950484335,0.2146081328,full_model
32,0.005,1500,500,0.3946681082,0.2138781548,full_model
32,0.01,1000,500,0.3947457135,0.2145672679,full_model
32,0.01,1500,500,0.3943437934,0.2134885073,full_model
32,0.05,1000,500,0.394527787,0.2141599178,full_model
32,0.05,1500,500,0.3943709254,0.2137213111,full_model
