n_hidden1,lr,epochs,report_every,avg_loss,avg_f1,model
16,0.005,1000,500,0.1214738920331001,1.0,full_model
16,0.005,1500,500,0.1214676052331924,1.0,full_model
16,0.01,1000,500,0.1214385733008384,1.0,full_model
16,0.01,1500,500,0.1215113773941993,1.0,full_model
16,0.05,1000,500,0.1217184498906135,1.0,full_model
16,0.05,1500,500,0.1228032439947128,0.9999014139175416,full_model
24,0.005,1000,500,0.1215174242854118,1.0,full_model
24,0.005,1500,500,0.1214433416724205,1.0,full_model
24,0.01,1000,500,0.1214552223682403,1.0,full_model
24,0.01,1500,500,0.1214853733778,1.0,full_model
24,0.05,1000,500,0.1219010546803474,0.9991140604019164,full_model
24,0.05,1500,500,0.1222906589508056,0.998675000667572,full_model
32,0.005,1000,500,0.1214167982339859,1.0,full_model
32,0.005,1500,500,0.1214861318469047,1.0,full_model
32,0.01,1000,500,0.1214909806847572,1.0,full_model
32,0.01,1500,500,0.1218070119619369,1.0,full_model
32,0.05,1000,500,0.1217680364847183,1.0,full_model
32,0.05,1500,500,0.12232912480831146,1.0,full_model
