n_hidden1,lr,epochs,report_every,avg_loss,avg_f1,model
16,0.005,1000,500,0.0221241790801286,1.0,full_model
16,0.005,1500,500,0.0221099212765693,1.0,full_model
16,0.01,1000,500,0.0221099026501178,1.0,full_model
16,0.01,1500,500,0.0221512142568826,1.0,full_model
16,0.05,1000,500,0.0226800743490457,1.0,full_model
16,0.05,1500,500,0.0242120563983917,1.0,full_model
24,0.005,1000,500,0.0221295185387134,1.0,full_model
24,0.005,1500,500,0.0221257731318473,1.0,full_model
24,0.01,1000,500,0.0221206787973642,1.0,full_model
24,0.01,1500,500,0.0221696536988019,1.0,full_model
24,0.05,1000,500,0.0224564328789711,1.0,full_model
24,0.05,1500,500,0.0228852286934852,1.0,full_model
32,0.005,1000,500,0.0221074178814888,1.0,full_model
32,0.005,1500,500,0.022113948315382,1.0,full_model
32,0.01,1000,500,0.0221617624163627,1.0,full_model
32,0.01,1500,500,0.0227068178355693,1.0,full_model
32,0.05,1000,500,0.0224922534078359,1.0,full_model
32,0.05,1500,500,0.022518593072891235,1.0,full_model
